tconst	ordering	nconst	category	job	characters
tt0042192	3	nm0001695	actor	\N	["Addison DeWitt"]
tt0042192	4	nm0002141	actress	\N	["Karen"]
tt0042192	5	nm0000581	director	\N	\N
tt0042192	6	nm0650581	writer	story "The Wisdom of Eve"	\N
tt0042192	7	nm0953123	producer	producer	\N
tt0042192	8	nm0000055	composer	\N	\N
tt0042192	9	nm0005762	cinematographer	director of photography	\N
tt0042876	10	nm0594335	cinematographer	\N	\N
tt0042876	1	nm0001536	actor	\N	["Tajômaru"]
tt0042876	2	nm0477553	actress	\N	["Masako Kanazawa"]
tt0042876	3	nm0605270	actor	\N	["Takehiro Kanazawa"]
tt0042876	4	nm0793766	actor	\N	["Woodcutter"]
tt0042876	5	nm0000041	director	\N	\N
tt0042876	6	nm0015611	writer	stories Rashomon and In a Grove	\N
tt0042876	7	nm0368074	writer	screenplay	\N
tt0042876	8	nm0423122	producer	producer	\N
tt0042876	9	nm0370593	composer	\N	\N
tt0044741	10	nm0620014	cinematographer	\N	\N
tt0044741	1	nm0793766	actor	\N	["Kanji Watanabe"]
tt0044741	2	nm0437520	actor	\N	["Mitsuo Watanabe, Kanji's son"]
tt0044741	3	nm0385443	actor	\N	["Kimura"]
tt0044741	4	nm0848984	actor	\N	["Sakai"]
tt0044741	5	nm0000041	director	\N	\N
tt0044741	6	nm0368074	writer	written by	\N
tt0044741	7	nm0644823	writer	written by	\N
tt0044741	8	nm0609404	producer	producer	\N
tt0044741	9	nm0370593	composer	\N	\N
tt0046268	10	nm0346537	editor	\N	\N
tt0046268	1	nm0598971	actor	\N	["Mario Livi"]
tt0046268	2	nm0889024	actor	\N	["M. Jo"]
tt0046268	3	nm0886870	actor	\N	["Bimba"]
tt0046268	4	nm0525793	actor	\N	["Luigi"]
tt0046268	5	nm0167241	director	\N	\N
tt0046268	6	nm1064118	writer	from the novel by	\N
tt0046268	7	nm0350823	writer	adaptation and dialogue	\N
tt0046268	8	nm0005952	composer	\N	\N
tt0046268	9	nm0005901	cinematographer	\N	\N
tt0046912	1	nm0001537	actor	\N	["Tony Wendice"]
tt0046912	2	nm0000038	actress	\N	["Margot Wendice"]
tt0046912	3	nm0191950	actor	\N	["Mark Halliday"]
tt0046912	4	nm0002369	actor	\N	["Chief Inspector Hubbard"]
tt0046912	5	nm0000033	director	\N	\N
tt0046912	6	nm0461425	writer	screen play by	\N
tt0046912	7	nm0006323	composer	\N	\N
tt0046912	8	nm0122079	cinematographer	director of photography	\N
tt0046912	9	nm0270458	editor	film editor	\N
tt0047296	10	nm0077086	composer	\N	\N
tt0047296	1	nm0000008	actor	\N	["Terry Malloy"]
tt0047296	2	nm0001500	actor	\N	["Father Barry"]
tt0047296	3	nm0002011	actor	\N	["Johnny Friendly"]
tt0047296	4	nm0001768	actor	\N	["Charley Malloy"]
tt0047296	5	nm0001415	director	\N	\N
tt0047296	6	nm0775977	writer	screenplay	\N
tt0047296	7	nm0425711	writer	suggested by articles by	\N
tt0047296	8	nm0802563	writer	\N	\N
tt0047296	9	nm0818545	producer	producer	\N
tt0050212	10	nm0002185	composer	\N	\N
tt0050212	1	nm0000034	actor	\N	["Shears"]
tt0050212	2	nm0000027	actor	\N	["Colonel Nicholson"]
tt0050212	3	nm0370144	actor	\N	["Major Warden"]
tt0050212	4	nm0370564	actor	\N	["Colonel Saito"]
tt0050212	5	nm0000180	director	\N	\N
tt0050212	6	nm0099541	writer	novel "Le pont de la rivière Kwaï"	\N
tt0050212	7	nm0286025	writer	screenplay	\N
tt0050212	8	nm0933858	writer	screenplay	\N
tt0050212	9	nm0818545	producer	producer	\N
tt0050976	10	nm0526456	production_designer	\N	\N
tt0050976	1	nm0001884	actor	\N	["Antonius Block"]
tt0050976	2	nm0085038	actor	\N	["Jöns, squire"]
tt0050976	3	nm0252345	actor	\N	["Death"]
tt0050976	4	nm0691555	actor	\N	["Jof","Joseph"]
tt0050976	5	nm0000005	director	\N	\N
tt0050976	6	nm0252321	producer	producer	\N
tt0050976	7	nm0635059	composer	\N	\N
