tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	poster_path	
tt0338013	movie	Eternal Sunshine of the Spotless Mind	Eternal Sunshine of the Spotless Mind	0	2004	\N	108	Drama,Romance,Sci-Fi	http://image.tmdb.org/t/p/original/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg	
tt0180093	movie	Requiem for a Dream	Requiem for a Dream	0	2000	\N	102	Drama	http://image.tmdb.org/t/p/original/nOd6vjEmzCT0k4VYqsA2hwyi87C.jpg	
tt0119217	movie	Good Will Hunting	Good Will Hunting	0	1997	\N	126	Drama,Romance	http://image.tmdb.org/t/p/original/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg	
tt0114709	movie	Toy Story	Toy Story	0	1995	\N	81	Adventure,Animation,Comedy	http://image.tmdb.org/t/p/original/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg	
tt0105236	movie	Reservoir Dogs	Reservoir Dogs	0	1992	\N	99	Crime,Thriller	http://image.tmdb.org/t/p/original/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg	
tt0087843	movie	Once Upon a Time in America	Once Upon a Time in America	0	1984	\N	229	Crime,Drama	http://image.tmdb.org/t/p/original/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg	
tt0086190	movie	Star Wars: Episode VI - Return of the Jedi	Star Wars: Episode VI - Return of the Jedi	0	1983	\N	131	Action,Adventure,Fantasy	http://image.tmdb.org/t/p/original/q6ydU8r1iYyy2bV7tPVaq266Y1k.jpg	
tt0062622	movie	2001: A Space Odyssey	2001: A Space Odyssey	0	1968	\N	149	Adventure,Sci-Fi	http://image.tmdb.org/t/p/original/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg	
tt0056172	movie	Lawrence of Arabia	Lawrence of Arabia	0	1962	\N	218	Adventure,Biography,Drama	http://image.tmdb.org/t/p/original/AiAm0EtDvyGqNpVoieRw4u65vD1.jpg	
tt0053125	movie	North by Northwest	North by Northwest	0	1959	\N	136	Action,Adventure,Mystery	http://image.tmdb.org/t/p/original/8gvfRlVpcKaTVqipXpYOGWBN1aO.jpg	
tt0052357	movie	Vertigo	Vertigo	0	1958	\N	128	Mystery,Romance,Thriller	http://image.tmdb.org/t/p/original/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg	
tt0045152	movie	Singin' in the Rain	Singin' in the Rain	0	1952	\N	103	Comedy,Musical,Romance	http://image.tmdb.org/t/p/original/671EPwBsHGHBk0cdOeZqmOK0XB3.jpg	
tt0033467	movie	Citizen Kane	Citizen Kane	0	1941	\N	119	Drama,Mystery	http://image.tmdb.org/t/p/original/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg	
tt0022100	movie	M	M - Eine Stadt sucht einen Mörder	0	1931	\N	117	Crime,Mystery,Thriller	http://image.tmdb.org/t/p/original/slsS6jT6SXjcTPOrsFcLIrHboXA.jpg	
tt0012349	movie	The Kid	The Kid	0	1921	\N	68	Comedy,Drama,Family	http://image.tmdb.org/t/p/original/jNfL8De5IDVIuUYsrNnmPxCQkz8.jpg	
tt0015324	movie	Sherlock Jr.	Sherlock Jr.	0	1924	\N	45	Action,Comedy,Romance	http://image.tmdb.org/t/p/original/1G9r3rqtbFAQuyWKOZm4Y5J5s7Q.jpg	
tt0015864	movie	The Gold Rush	The Gold Rush	0	1925	\N	95	Adventure,Comedy,Drama	http://image.tmdb.org/t/p/original/eQRFo1qwRREYwj47Yoe1PisgOle.jpg	
tt0017136	movie	Metropolis	Metropolis	0	1927	\N	153	Drama,Sci-Fi	http://image.tmdb.org/t/p/original/pxbGZewX327IbTvrCVRJgcLJTSQ.jpg	
tt0017925	movie	The General	The General	0	1926	\N	67	Action,Adventure,Comedy	http://image.tmdb.org/t/p/original/iaV7LKAEialeaKDtf22SrYMqeFC.jpg	
tt0031381	movie	Gone with the Wind	Gone with the Wind	0	1939	\N	238	Drama,Romance,War	http://image.tmdb.org/t/p/original/7K5hvvoM2Of1fgEgUSveNE6DNe7.jpg	
tt0031679	movie	Mr. Smith Goes to Washington	Mr. Smith Goes to Washington	0	1939	\N	129	Comedy,Drama	http://image.tmdb.org/t/p/original/nDjg1fbNyq15excNDl3acd2IqAk.jpg	
tt0036775	movie	Double Indemnity	Double Indemnity	0	1944	\N	107	Crime,Drama,Film-Noir	http://image.tmdb.org/t/p/original/kkfKLeOTo7RjS9TxHKpknlL7huS.jpg	
tt0040522	movie	Bicycle Thieves	Ladri di biciclette	0	1948	\N	89	Drama	http://image.tmdb.org/t/p/original/64lZvZAX4QsBvBrr2aYCqjg7pYG.jpg	
tt0040897	movie	The Treasure of the Sierra Madre	The Treasure of the Sierra Madre	0	1948	\N	126	Adventure,Drama,Western	http://image.tmdb.org/t/p/original/pWcst7zVbi8Z8W6GFrdNE7HHRxL.jpg	
tt0041959	movie	The Third Man	The Third Man	0	1949	\N	104	Film-Noir,Mystery,Thriller	http://image.tmdb.org/t/p/original/oIF3l7Dxp7Eyye10BNyM611wtKa.jpg	
tt0042192	movie	All About Eve	All About Eve	0	1950	\N	138	Drama	http://image.tmdb.org/t/p/original/6numIZH6uR3NlJgY9m7nGH0jhs.jpg	
tt0042876	movie	Rashomon	Rashômon	0	1950	\N	88	Crime,Drama,Mystery	http://image.tmdb.org/t/p/original/vL7Xw04nFMHwnvXRFCmYYAzMUvY.jpg	
tt0044741	movie	Ikiru	Ikiru	0	1952	\N	143	Drama	http://image.tmdb.org/t/p/original	
tt0046268	movie	The Wages of Fear	Le salaire de la peur	0	1953	\N	131	Adventure,Drama,Thriller	http://image.tmdb.org/t/p/original/dZyZSosIlWcpQkV0f7pXcrV2TQV.jpg	
tt0046912	movie	Dial M for Murder	Dial M for Murder	0	1954	\N	105	Crime,Thriller	http://image.tmdb.org/t/p/original/2gDCAgl2iBQNuJuk6p2xtuS1ewg.jpg	
tt0047296	movie	On the Waterfront	On the Waterfront	0	1954	\N	108	Crime,Drama,Thriller	http://image.tmdb.org/t/p/original/fKjLZy9W8VxMOp5OoyWojmLVCQw.jpg	
tt0050212	movie	The Bridge on the River Kwai	The Bridge on the River Kwai	0	1957	\N	161	Adventure,Drama,War	http://image.tmdb.org/t/p/original/7paXMt2e3Tr5dLmEZOGgFEn2Vo7.jpg	
tt0050976	movie	The Seventh Seal	Det sjunde inseglet	0	1957	\N	96	Drama,Fantasy	http://image.tmdb.org/t/p/original/wcZ21zrOsy0b52AfAF50XpTiv75.jpg	
tt0050986	movie	Wild Strawberries	Smultronstället	0	1957	\N	91	Drama,Romance	http://image.tmdb.org/t/p/original/iyTD2QnySNMPUPE3IedZQipSWfz.jpg	
tt0052618	movie	Ben-Hur	Ben-Hur	0	1959	\N	212	Adventure,Drama	http://image.tmdb.org/t/p/original/aUrN8UWS8d2PKLsk5teZPxrfbmO.jpg	
tt0053291	movie	Some Like It Hot	Some Like It Hot	0	1959	\N	121	Comedy,Music,Romance	http://image.tmdb.org/t/p/original/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg	
tt0053604	movie	The Apartment	The Apartment	0	1960	\N	125	Comedy,Drama,Romance	http://image.tmdb.org/t/p/original/jCgbZGYQ4PcfUBiI4679Vjz3H81.jpg	
tt0055031	movie	Judgment at Nuremberg	Judgment at Nuremberg	0	1961	\N	179	Drama,War	http://image.tmdb.org/t/p/original/cqumfgd74ftVzOKJpFGOG64WlXL.jpg	
tt0055630	movie	Yojimbo	Yôjinbô	0	1961	\N	110	Action,Drama,Thriller	http://image.tmdb.org/t/p/original/pzIqBmhGpubF1ma7aavAqOORi4b.jpg	
tt0056592	movie	To Kill a Mockingbird	To Kill a Mockingbird	0	1962	\N	129	Crime,Drama	http://image.tmdb.org/t/p/original/o5icF9TCe8Ld5bWy19rPwsNyLLv.jpg	
tt0057115	movie	The Great Escape	The Great Escape	0	1963	\N	172	Adventure,Drama,History	http://image.tmdb.org/t/p/original/gBH4H8UMFxl139HaLz6lRuvsel8.jpg	
tt0059578	movie	For a Few Dollars More	Per qualche dollaro in più	0	1965	\N	132	Western	http://image.tmdb.org/t/p/original/ooqASvA7qxlTVKL3KwOzBwy57Dh.jpg	
tt0066921	movie	A Clockwork Orange	A Clockwork Orange	0	1971	\N	136	Crime,Sci-Fi	http://image.tmdb.org/t/p/original/4sHeTAp65WrSSuc05nRBKddhBxO.jpg	
tt0070735	movie	The Sting	The Sting	0	1973	\N	129	Comedy,Crime,Drama	http://image.tmdb.org/t/p/original/fpxhmgeCuPQOeatfeCPwtOwUwlb.jpg	
tt0071315	movie	Chinatown	Chinatown	0	1974	\N	130	Drama,Mystery,Thriller	http://image.tmdb.org/t/p/original/7ljxmU9L0ugUvyyg0GBkFaarjEq.jpg	
tt0071853	movie	Monty Python and the Holy Grail	Monty Python and the Holy Grail	0	1975	\N	91	Adventure,Comedy,Fantasy	http://image.tmdb.org/t/p/original/8AVb7tyxZRsbKJNOTJHQZl7JYWO.jpg	
tt0072684	movie	Barry Lyndon	Barry Lyndon	0	1975	\N	185	Adventure,Drama,War	http://image.tmdb.org/t/p/original/A0byHUHMwZ7dtBQtfZ44QIgDbjo.jpg	
tt0075314	movie	Taxi Driver	Taxi Driver	0	1976	\N	114	Crime,Drama	http://image.tmdb.org/t/p/original/ekstpH614fwDX8DUln1a2Opz0N8.jpg	
tt0077416	movie	The Deer Hunter	The Deer Hunter	0	1978	\N	183	Drama,War	http://image.tmdb.org/t/p/original/bbGtogDZOg09bm42KIpCXUXICkh.jpg	
tt0080678	movie	The Elephant Man	The Elephant Man	0	1980	\N	124	Biography,Drama	http://image.tmdb.org/t/p/original/rk2lKgEtjF9HO9N2UFMRc2cMGdj.jpg	
tt0081398	movie	Raging Bull	Raging Bull	0	1980	\N	129	Biography,Drama,Sport	http://image.tmdb.org/t/p/original/rEviyDWNbAFmvvCPlkMRPAGUElG.jpg	
tt0083658	movie	Blade Runner	Blade Runner	0	1982	\N	117	Action,Drama,Sci-Fi	http://image.tmdb.org/t/p/original/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg	
tt0084787	movie	The Thing	The Thing	0	1982	\N	109	Horror,Mystery,Sci-Fi	http://image.tmdb.org/t/p/original/tzGY49kseSE9QAKk47uuDGwnSCu.jpg	
tt0086250	movie	Scarface	Scarface	0	1983	\N	170	Crime,Drama	http://image.tmdb.org/t/p/original/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg	
tt0089881	movie	Ran	Ran	0	1985	\N	162	Action,Drama,War	http://image.tmdb.org/t/p/original/p2aOR5JZYJbhweEnvgwXaZaGdKF.jpg	
tt0093058	movie	Full Metal Jacket	Full Metal Jacket	0	1987	\N	116	Drama,War	http://image.tmdb.org/t/p/original/kMKyx1k8hWWscYFnPbnxxN4Eqo4.jpg	
tt0095016	movie	Die Hard	Die Hard	0	1988	\N	132	Action,Thriller	http://image.tmdb.org/t/p/original/yFihWxQcmqcaBR31QM6Y8gT6aYV.jpg	
tt0096283	movie	My Neighbor Totoro	Tonari no Totoro	0	1988	\N	86	Animation,Comedy,Family	http://image.tmdb.org/t/p/original/rtGDOeG9LzoerkDGZF9dnVeLppL.jpg	
tt0097576	movie	Indiana Jones and the Last Crusade	Indiana Jones and the Last Crusade	0	1989	\N	127	Action,Adventure	http://image.tmdb.org/t/p/original/riO8WLCG9BbuhQfBpbnXFKzBcgL.jpg	
tt0105695	movie	Unforgiven	Unforgiven	0	1992	\N	130	Drama,Western	http://image.tmdb.org/t/p/original/yKyLJmRAtyXEEYKOvPhKHXIcPq9.jpg	
