tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	poster_path	
tt1130884	movie	Shutter Island	Shutter Island	0	2010	\N	138	Mystery,Thriller	http://image.tmdb.org/t/p/original/kve20tXwUZpu4GUX8l6X7Z4jmL6.jpg	
tt1201607	movie	Harry Potter and the Deathly Hallows: Part 2	Harry Potter and the Deathly Hallows: Part 2	0	2011	\N	130	Adventure,Family,Fantasy	http://image.tmdb.org/t/p/original/c54HpQmuwXjHq2C9wmoACjxoom3.jpg	
tt1205489	movie	Gran Torino	Gran Torino	0	2008	\N	116	Drama	http://image.tmdb.org/t/p/original/zUybYvxWdAJy5hhYovsXtHSWI1l.jpg	
tt1255953	movie	Incendies	Incendies	0	2010	\N	131	Drama,Mystery	http://image.tmdb.org/t/p/original/zQdcNGCi4aVIv02wMHaTWlF7M2w.jpg	
tt1291584	movie	Warrior	Warrior	0	2011	\N	140	Action,Drama,Sport	http://image.tmdb.org/t/p/original/iM8n4nZJPR2abpnyZ36FUgHiRjr.jpg	
tt1305806	movie	The Secret in Their Eyes	El secreto de sus ojos	0	2009	\N	129	Drama,Mystery,Romance	http://image.tmdb.org/t/p/original/r3FctmAMk2tbrwxuWdpeLrZLwIz.jpg	
tt1392190	movie	Mad Max: Fury Road	Mad Max: Fury Road	0	2015	\N	120	Action,Adventure,Sci-Fi	http://image.tmdb.org/t/p/original/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg	
tt1392214	movie	Prisoners	Prisoners	0	2013	\N	153	Crime,Drama,Mystery	http://image.tmdb.org/t/p/original/tJE5Xs8Z1ZQPNBv71AWZ95L1o6C.jpg	
tt1832382	movie	A Separation	Jodaeiye Nader az Simin	0	2011	\N	123	Drama	http://image.tmdb.org/t/p/original/so1MVunHFmrcgemv555AiRUzl5n.jpg	
tt2024544	movie	12 Years a Slave	12 Years a Slave	0	2013	\N	134	Biography,Drama,History	http://image.tmdb.org/t/p/original/xdANQijuNrJaw1HA61rDccME4Tm.jpg	
tt2096673	movie	Inside Out	Inside Out	0	2015	\N	95	Adventure,Animation,Comedy	http://image.tmdb.org/t/p/original/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg	
tt2119532	movie	Hacksaw Ridge	Hacksaw Ridge	0	2016	\N	139	Biography,Drama,History	http://image.tmdb.org/t/p/original/jhWbYeUNOA5zAb6ufK6pXQFXqTX.jpg	
tt2267998	movie	Gone Girl	Gone Girl	0	2014	\N	149	Drama,Mystery,Thriller	http://image.tmdb.org/t/p/original/qymaJhucquUwjpb8oiqynMeXnID.jpg	
tt2278388	movie	The Grand Budapest Hotel	The Grand Budapest Hotel	0	2014	\N	99	Adventure,Comedy,Crime	http://image.tmdb.org/t/p/original/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg	
tt3011894	movie	Wild Tales	Relatos salvajes	0	2014	\N	122	Comedy,Drama,Thriller	http://image.tmdb.org/t/p/original/pvSty5MCAxdj8LlAEXCDfM1YNOl.jpg	
tt3170832	movie	Room	Room	0	2015	\N	118	Drama,Thriller	http://image.tmdb.org/t/p/original/b9ykj4v8ykjRoGB7SpI1OuxblNU.jpg	
tt4729430	movie	Klaus	Klaus	0	2019	\N	96	Adventure,Animation,Comedy	http://image.tmdb.org/t/p/original/q125RHUDgR4gjwh1QkfYuJLYkL.jpg	
tt5027774	movie	Three Billboards Outside Ebbing, Missouri	Three Billboards Outside Ebbing, Missouri	0	2017	\N	115	Comedy,Crime,Drama	http://image.tmdb.org/t/p/original/vgvw6w1CtcFkuXXn004S5wQsHRl.jpg	
tt5074352	movie	Dangal	Dangal	0	2016	\N	161	Action,Biography,Drama	http://image.tmdb.org/t/p/original/1NVvjdzDfyzqMIIzJVbAphVxUoY.jpg	
tt6966692	movie	Green Book	Green Book	0	2018	\N	130	Biography,Comedy,Drama	http://image.tmdb.org/t/p/original/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg	
tt8503618	movie	Hamilton	Hamilton	0	2020	\N	160	Biography,Drama,History	http://image.tmdb.org/t/p/original/h1B7tW0t399VDjAcWJh8m87469b.jpg	
tt8579674	movie	1917	1917	0	2019	\N	119	Action,Drama,War	http://image.tmdb.org/t/p/original/iZf0KyrE25z1sage4SYFLCCrMi9.jpg	
